timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742817530066,669,Vote,201,,Grupo de Usuários 1-67,text,true,,273,267,133,133,http://localhost:8080/v1/vote/1,668,0,2
1742817530075,660,Vote,201,,Grupo de Usuários 1-69,text,true,,273,267,133,133,http://localhost:8080/v1/vote/1,659,0,2
1742817530095,690,Vote,201,,Grupo de Usuários 1-73,text,true,,273,267,130,130,http://localhost:8080/v1/vote/1,689,0,2
1742817530095,694,Vote,201,,Grupo de Usuários 1-72,text,true,,273,267,129,129,http://localhost:8080/v1/vote/1,693,0,2
1742817530096,708,Vote,201,,Grupo de Usuários 1-71,text,true,,273,267,128,128,http://localhost:8080/v1/vote/1,707,0,1
1742817530116,694,Vote,201,,Grupo de Usuários 1-77,text,true,,273,267,127,127,http://localhost:8080/v1/vote/1,694,0,1
1742817530110,700,Vote,201,,Grupo de Usuários 1-76,text,true,,273,267,127,127,http://localhost:8080/v1/vote/1,700,0,1
1742817530125,685,Vote,201,,Grupo de Usuários 1-79,text,true,,273,267,127,127,http://localhost:8080/v1/vote/1,685,0,3
1742817530130,680,Vote,201,,Grupo de Usuários 1-80,text,true,,273,267,127,127,http://localhost:8080/v1/vote/1,680,0,2
1742817530118,692,Vote,201,,Grupo de Usuários 1-78,text,true,,273,267,127,127,http://localhost:8080/v1/vote/1,692,0,2
1742817530102,708,Vote,201,,Grupo de Usuários 1-74,text,true,,273,267,127,127,http://localhost:8080/v1/vote/1,708,0,2
1742817530107,707,Vote,201,,Grupo de Usuários 1-75,text,true,,273,267,121,121,http://localhost:8080/v1/vote/1,706,0,1
1742817530134,733,Vote,201,,Grupo de Usuários 1-81,text,true,,273,267,120,120,http://localhost:8080/v1/vote/1,733,0,2
1742817530139,730,Vote,201,,Grupo de Usuários 1-82,text,true,,273,267,119,119,http://localhost:8080/v1/vote/1,730,0,2
1742817530144,747,Vote,201,,Grupo de Usuários 1-83,text,true,,273,267,118,118,http://localhost:8080/v1/vote/1,746,0,2
